config,CAV,YARA,ER,Snort,CRSPR2,Brill,LV,HM,CRSPR1,PEN,Pro,TCP,Rg05,Rg1,EM,Bro
AP,361336.946703,823045.267490,2139037.433155,4210526.315789,4210526.315789,8163265.306122,8163265.306122,8163265.306122,15384615.384615,133333333.333333,133333333.333333,133333333.333333,133333333.333333,133333333.333333,133333333.333333,133333333.333333
AP_ideal,2721088.435374,6060606.060606,14814814.814815,26666666.666667,26666666.666667,44444444.444444,44444444.444444,44444444.444444,66666666.666667,133333333.333333,133333333.333333,133333333.333333,133333333.333333,133333333.333333,133333333.333333,133333333.333333
iNFAnt,58126.957031,121812.341146,303054.937500,1106174.375000,573609.729167,991692.583333,1021151.020833,1078866.000000,1642251.125000,3491036.500000,5278251.166667,7432994.666667,11147807.333333,11459712.333333,11367843.666667,53922042.666667
NT,147582.010417,335333.416667,713600.770833,2852239.916667,1123542.291667,1965888.708333,1347229.750000,1864153.500000,3116490.666667,7523909.166667,10886853.666667,16481568.000000,22969114.000000,23374120.000000,23352311.333333,119501314.666667
NT-Mac,166292.229167,339563.093750,548952.354167,2223335.666667,951742.333333,1969190.541667,1524917.375000,1957273.375000,2641828.916667,8365927.500000,8793456.000000,13033152.666667,21634121.333333,20325591.333333,25702416.666667,94591554.666667
NFA-CG,170330.317708,247844.505208,743647.312500,5144555.666667,2592628.666667,1067591.250000,6369154.833333,5317298.666667,5577450.500000,9751599.333333,4463260.166667,30012817.333333,85845714.666667,83260141.333333,88807386.666667,165051280.000000
HotStartTT,309445.239583,330260.635417,2136140.916667,19425642.000000,3567993.000000,2336945.083333,9804426.333333,5150111.333333,7431135.000000,20355898.666667,25186884.666667,79345520.000000,152240202.666667,153826698.666667,153478720.000000,229966000.000000
HotStart,3693861.166667,3070647.583333,5774025.333333,30845485.333333,2261528.916667,3409324.500000,20869140.666667,2194043.916667,5243114.333333,43954321.333333,25989022.000000,182775946.666667,288808714.666667,288336597.333333,275982922.666667,445493482.666667
HotStart-Mac,3996110.000000,3734010.666667,9594322.000000,29901130.666667,2087173.250000,7107203.666667,22222876.000000,5937283.666667,4761337.500000,44350152.000000,33035836.666667,187804202.666667,307671605.333333,308470133.333333,284214069.333333,389303818.666667
